tcgdex_id,poketrace_id,name,set,tcgdex_price,poketrace_avg_nm,total_sale_count,ebay_sale_count,tcgplayer_sale_count,platform_count,price_stability,freshness_days,liquidity_score,matched
swsh12.5-100,019bffa4-08c3-76a4-9177-dbe30894d2a2,Rayquaza V,Crown Zenith,1.1,1.09,25936,259,25677,2,6.8,0,13016.6,True
me01-077,019c0010-df7b-74f9-92a4-d9cbea6f2b6f,Mega Lucario ex,ME01: Mega Evolution,1.02,1.03,25327,55,25272,2,1.6,0,12713.2,True
me02.5-113,019c0010-df7b-74f9-92a4-d9cbea6f2b6f,Mega Lucario ex,ME01: Mega Evolution,1.07,1.03,25327,55,25272,2,1.6,0,12713.2,True
sv08.5-073,019bffb0-7845-751b-84c6-cbe5dcb44750,Dragapult ex,SV06: Twilight Masquerade,1.1,1.39,19398,135,19263,2,20.1,0,9745,True
sv10-104,019c0004-fc83-7688-bf38-a679877aad4e,Cynthia's Garchomp ex,SV10: Destined Rivals,1.06,1.03,17960,187,17773,2,1.9,0,9029.6,True
sv10.5w-160,019c0007-b8d2-74f3-916d-6745657076a5,Jellicent ex,SV: White Flare,1.09,0.56,15354,37,15317,2,8.5,2,7725.3,True
sv10.5w-161,019c0007-b8d2-74f3-916d-b7311cc10d4a,Hydreigon ex,SV: White Flare,1.08,0.51,15033,29,15004,2,1.5,2,7566.2,True
sv10.5b-159,019c000a-36f2-733d-933e-a796a3f73ccb,Meloetta ex,SV: Black Bolt,1.04,0.43,14516,39,14477,2,7,2,7306.6,True
swsh12-120,019bffa2-09c0-7728-a27e-91989bf596c0,Radiant Jirachi,SWSH12: Silver Tempest,1.02,1.05,13431,252,13179,2,1.1,0,6765.3,True
bw11-17,019bff77-befa-771d-bab1-131dd5c20ddd,Charmander,Base Set,1.09,2.11,12578,47,12531,2,4.4,0,6338.1,True
swsh1-138,019bff9b-b937-714a-86f4-d19ca25c0d82,Zacian V,Celebrations,1.03,0.77,11780,190,11590,2,7,0,5938.6,True
